"Pdel_P1"	"Pdel_P4"
"Podel.01G023300"	0.605150796087108	0.355971056521828
"Podel.01G023400"	0	0
"Podel.01G023500"	2.81042548950801	2.34202124125668
"Podel.01G023600"	0	0
"Podel.01G023700"	0	0
"Podel.01G023800"	0.32730845197072	0
"Podel.01G023900"	0	0
"Podel.01G024000"	0.0679319428618476	0.203795828585543
"Podel.01G024100"	0	0
"Podel.01G024200"	0	0
"Podel.01G024300"	0	0
"Podel.01G024400"	0.160017465407908	0.240026198111861
"Podel.01G024500"	0	0
"Podel.01G024600"	0	0
"Podel.01G024700"	0	0
"Podel.01G024800"	0	0
"Podel.01G024900"	0.509337029675993	0.622523036270659
"Podel.01G025000"	0	0
"Podel.01G025100"	2.39426132616582	2.64628883418327
"Podel.01G025200"	2.81042548950801	2.61525705273662
"Podel.01G025300"	0	0
"Podel.01G025400"	0	0
"Podel.01G025500"	0.866404725804847	0.924165040858504
"Podel.01G025600"	56.2590437251866	47.8039273271817
"Podel.01G025700"	0	0
"Podel.01G025800"	13.0359055871097	1.52085565182947
"Podel.01G025900"	0.0350200335364689	0
"Podel.01G026000"	0.0387535891364615	0
"Podel.01G026100"	0	0
"Podel.01G026200"	0	0.134057185115667
"Podel.01G026300"	0	0
"Podel.01G026400"	0	0
"Podel.01G026500"	0.281857418099669	0.634179190724256
"Podel.01G026600"	0	0
"Podel.01G026700"	0.0323942812361767	0
"Podel.01G026800"	0.0737641486880354	0
"Podel.01G026900"	0	0
"Podel.01G027000"	0.507437935605613	0.507437935605613
"Podel.01G027100"	0.0220883004397418	0
"Podel.01G027200"	6.4584368770305	6.4027606970561
"Podel.01G027300"	0	0.05207179917716
"Podel.01G027400"	0	0
"Podel.01G027500"	9.73424781243886	10.4615192007245
"Podel.01G027600"	0.0404755098529102	0
"Podel.01G027700"	0	0
"Podel.01G027800"	2.88948735306636	2.24737905238494
"Podel.01G027900"	0.0206073187258753	0
"Podel.01G028000"	0.283176975300511	0.353971219125638
"Podel.01G028100"	8.37598839701926	11.5169840459015
"Podel.01G028200"	0	0
"Podel.01G028300"	0	0
"Podel.01G028400"	0.642303115093027	0.458787939352162
"Podel.01G028500"	0	0
"Podel.01G028600"	0.202703089558274	0.13513539303885
"Podel.01G028700"	12.2301720944904	13.2851709652612
"Podel.01G028800"	2.72016607181553	2.22559042239453
"Podel.01G028900"	0.771512779645269	0.501483306769425
"Podel.01G029000"	8.67698346612167	9.63259838529806
"Podel.01G029100"	6.87347749138512	5.89155213547296
"Podel.01G029200"	57.9568876115045	62.2045422410122
"Podel.01G029300"	1.35533358985059	1.40373836091668
"Podel.01G029400"	0	0.0529284231048207
"Podel.01G029500"	0.914866056585099	1.3645459827032
"Podel.01G029600"	0.289409578584637	0.0723523946461592
"Podel.01G029700"	0.156538824855562	0.234808237283343
"Podel.01G029800"	0	0
"Podel.01G029900"	0.0146812140592692	0.0293624281185384
"Podel.01G030000"	0	0
"Podel.01G030100"	0.664157138317109	0.618873697068215
"Podel.01G030200"	0	0
"Podel.01G030300"	9.29574547985059	11.4804598552993
"Podel.01G030400"	0.0467872849042304	0
"Podel.01G030500"	0	0.159511081023705
"Podel.01G030600"	36.5005356439072	42.2816763825385
"Podel.01G030700"	1.50914675459554	2.11280545643375
"Podel.01G030800"	2.64667056551484	2.90115811989126
"Podel.01G030900"	0.140188354274233	0.0467294514247443
"Podel.01G031000"	0	0
"Podel.01G031100"	3.77789402424565	3.70233614376074
"Podel.01G031200"	0.0428861329581601	0
"Podel.01G031300"	0	0
"Podel.01G031400"	0.0164473031118635	0.0164473031118635
"Podel.01G031500"	0	0
"Podel.01G031600"	0	0
"Podel.01G031700"	0	0
"Podel.01G031800"	0	0
"Podel.01G031900"	0.0372454445345992	0
"Podel.01G032000"	33.6760894333668	33.350191793689
"Podel.01G032100"	0.341439001107462	0.327781441063163
"Podel.01G032200"	0.0669099578807401	0
"Podel.01G032300"	0.096357161094184	0.192714322188368
"Podel.01G032400"	41.6001388749581	36.9201232515253
"Podel.01G032500"	16.2859880911864	14.5910662536421
"Podel.01G032600"	0.533441067842366	0.364985993786882
"Podel.01G032700"	0.118508232610088	0.0592541163050441
"Podel.01G032800"	0.0617714480434937	0.0308857240217469
"Podel.01G032900"	0.357365136284034	0
"Podel.01G033000"	0	0
"Podel.01G033100"	0	0
"Podel.01G033200"	0.840091693391515	1.68018338678303
"Podel.01G033300"	0.433147213015358	0.38501974490254
"Podel.01G033400"	4.77906606741736	4.3601837826238
"Podel.01G033500"	0	0
"Podel.01G033600"	0	0
"Podel.01G033700"	0	0
"Podel.01G033800"	20.3205425312503	18.5172043412475
"Podel.01G033900"	0	0
"Podel.01G034000"	0.546712055420831	0.728949407227774
"Podel.01G034100"	0.294686952581656	0
"Podel.01G034200"	0	0
"Podel.01G034300"	1.05055677026223	1.17789698483947
"Podel.01G034400"	7.86175360830567	8.9902349874883
"Podel.01G034500"	4.31225774174352	5.9413328886244
"Podel.01G034600"	6.13855820326453	6.20564627105977
"Podel.01G034700"	0	0
"Podel.01G034800"	0	0
"Podel.01G034900"	0	0
"Podel.01G035000"	0	0
"Podel.01G035100"	0.0497422713192344	0
"Podel.01G035200"	0	0
"Podel.01G035300"	0	0
"Podel.01G035400"	0.423180517193487	0.282120344795658
"Podel.01G035500"	45.3649514431418	42.3237256480708
"Podel.01G035600"	0.117113154283204	0.0702678925699222
"Podel.01G035700"	1.73590375420185	1.35014736437922
"Podel.01G035800"	2.10205393307347	1.90498637684783
"Podel.01G035900"	0	0
"Podel.01G036000"	0	0
"Podel.01G036100"	0.579373581649321	0.579373581649321
"Podel.01G036200"	0	0.0345716746251652
"Podel.01G036300"	0.0420045846695757	0.0420045846695757
"Podel.01G036400"	14.577847625793	15.5933830783763
"Podel.01G036500"	0	0
"Podel.01G036600"	0.0747856106876719	0
"Podel.01G036700"	2.50869648103132	2.89464978580537
"Podel.01G036800"	0	0.0369180919947443
"Podel.01G036900"	2.19536156809629	2.10754710537244
"Podel.01G037000"	0	0
"Podel.01G037100"	0.148615729543462	0.148615729543462
"Podel.01G037200"	17.0929547516788	19.4011274736209
"Podel.01G037300"	0.544947176236199	0.874450120006924
"Podel.01G037400"	4.19242699761349	4.1201437735167
"Podel.01G037500"	0	0
"Podel.01G037600"	0	0.0385166848727643
"Podel.01G037700"	0.396893713413314	0.198446856706657
"Podel.01G037800"	0.121037757318948	0.161383676425264
"Podel.01G037900"	0	0
"Podel.01G038000"	0	0
"Podel.01G038100"	0.645121607553211	0.451585125287248
"Podel.01G038200"	0.170161108188829	0.283601846981382
"Podel.01G038300"	0	0
"Podel.01G038400"	0	0.0685789137462461
"Podel.01G038500"	0	0
"Podel.01G038600"	0.121948794201994	0.243897588403988
"Podel.01G038700"	0.496919757971725	0.879165725642283
"Podel.01G038800"	0	0
"Podel.01G038900"	0	0
"Podel.01G039000"	0.709028794934015	1.61142907939549
"Podel.01G039100"	0	0.720078594335584
"Podel.01G039200"	1.76679077785432	1.87071964713987
"Podel.01G039300"	0	0
"Podel.01G039400"	0	0
"Podel.01G039500"	2.16868520588683	1.7743788048165
"Podel.01G039600"	15.5545221551231	16.62227228451
"Podel.01G039700"	0	0
"Podel.01G039800"	9.90771530289747	9.31944470678794
"Podel.01G039900"	1.73879443515918	2.34444193504609
"Podel.01G040000"	19.2645684210602	19.4717143180609
"Podel.01G040100"	18.8873989716727	24.401111714956
